customer_state,customer_city,total_revenue,unique_customers,revenue_per_customer
MG,Goiana,88.7,3,29.57
PE,Xexeu,87.5,1,87.5
SE,Carmopolis,87.31,2,43.66
MG,Uniao De Minas,87.09,3,29.03
PR,Pato Bragado,86.69999999999999,2,43.35
PB,Sao Mamede,86.0,1,86.0
BA,Varzea Nova,86.0,1,86.0
MA,Moncao,85.99,1,85.99
AP,Vitoria Do Jari,85.95,1,85.95
ES,Novo Brasil,85.9,1,85.9
MG,Bom Jesus Da Penha,85.89,2,42.94
PR,Vila Nova,85.47,2,42.74
SP,Piquerobi,85.0,1,85.0
PB,Montadas,84.99,1,84.99
PI,Lagoa Do Piaui,84.99,1,84.99
MG,Entre Folhas,84.99,1,84.99
RN,Janduis,84.99,1,84.99
PE,Santo Antonio Das Queimadas,84.99,1,84.99
MG,Major Porto,84.99,1,84.99
BA,Caturama,84.99,2,42.5
BA,Cotegipe,84.99,1,84.99
PR,Nova Esperanca Do Sudoeste,84.99,1,84.99
RS,Vila Nova Do Sul,84.99,1,84.99
BA,Santa Brigida,84.9,1,84.9
PB,Serra Branca,84.9,1,84.9
PR,Perola Independente,84.9,1,84.9
GO,Itaguaru,84.89,2,42.44
TO,Esperantina,84.44,1,84.44
MG,Guarda-Mor,83.9,2,41.95
RS,Senador Salgado Filho,83.8,1,83.8
GO,Turvania,83.7,2,41.85
GO,Ouro Verde De Goias,82.9,1,82.9
GO,Itaguacu,82.89,2,41.44
RS,Tres Forquilhas,82.8,1,82.8
GO,Jussara,82.78999999999999,3,27.6
MG,Riachinho,82.34,2,41.17
SP,Santa Salete,81.99,1,81.99
RS,Sinimbu,81.78,2,40.89
CE,Assare,81.0,1,81.0
TO,Barrolandia,80.99,2,40.49
BA,Piata,80.97999999999999,2,40.49
MG,Bias Fortes,80.9,2,40.45
MG,Ouro Verde De Minas,80.78999999999999,2,40.39
MA,Sao Joao Do Paraiso,80.04,1,80.04
PB,Assuncao,80.0,1,80.0
PR,Perobal,80.0,1,80.0
SE,Monte Alegre De Sergipe,80.0,1,80.0
SE,Nossa Senhora De Lourdes,79.99,1,79.99
RN,Frutuoso Gomes,79.99,1,79.99
SC,Coronel Freitas,79.99,1,79.99
SP,Iaras,79.99,1,79.99
MG,Ewbank Da Camara,79.99,1,79.99
PE,Cha De Alegria,79.99,1,79.99
RS,Barao Do Triunfo,79.99,1,79.99
RS,Monte Belo Do Sul,79.98,1,79.98
MG,Materlandia,79.98,2,39.99
MA,Vargem Grande,79.9,1,79.9
PR,Campo Bonito,79.9,1,79.9
AL,Novo Lino,79.9,1,79.9
SC,Paraiso,79.9,1,79.9
SP,Ubirajara,79.9,1,79.9
ES,Paraju,79.9,1,79.9
MA,Santa Luzia Do Parua,79.9,1,79.9
RS,Dezesseis De Novembro,79.9,1,79.9
ES,Ponto Belo,79.9,1,79.9
BA,Andarai,79.9,1,79.9
MG,Olaria,79.9,1,79.9
PR,Querencia Do Norte,79.9,1,79.9
MG,Campo Azul,79.9,1,79.9
BA,Filadelfia,79.9,1,79.9
RS,Santana Da Boa Vista,79.89,2,39.94
BA,Elisio Medrado,79.82,2,39.91
CE,Banabuiu,79.0,1,79.0
PE,Sao Joaquim Do Monte,79.0,1,79.0
TO,Praia Norte,79.0,1,79.0
SP,Rincao,79.0,1,79.0
RJ,Santa Rita Da Floresta,79.0,1,79.0
SP,Nantes,79.0,1,79.0
RS,Ipiranga,79.0,1,79.0
GO,Teresina De Goias,79.0,1,79.0
GO,Divinopolis De Goias,79.0,1,79.0
MA,Vitoria Do Mearim,78.9,2,39.45
MG,Sao Francisco De Paula,78.89,2,39.44
SP,Vargem,78.8,2,39.4
PE,Aracoiaba,78.67,2,39.34
PI,Inhuma,78.0,1,78.0
PA,Aurora Do Para,78.0,1,78.0
SC,Monte Castelo,78.0,1,78.0
TO,Almas,78.0,1,78.0
MG,Santo Antonio Do Aventureiro,77.99,1,77.99
RS,Sao Jose Do Inhacora,77.99,1,77.99
MT,Figueiropolis D'Oeste,77.98,2,38.99
MG,Sapucaia,77.9,1,77.9
SE,Cristinapolis,77.9,1,77.9
BA,Paripiranga,77.71000000000001,2,38.86
MG,Alagoa,77.68,1,77.68
MG,Juvenilia,77.47999999999999,2,38.74
SP,Suzanapolis,76.9,1,76.9
RS,Augusto Pestana,76.88,2,38.44
MS,Deodapolis,76.8,2,38.4
CE,Antonina Do Norte,76.8,1,76.8
SE,Campo Do Brito,76.8,1,76.8
MG,Bras Pires,76.8,2,38.4
PR,Engenheiro Beltrao,76.8,2,38.4
MG,Brasilandia De Minas,76.25,1,76.25
MG,Alvarenga,76.0,1,76.0
BA,Aracatu,75.99,1,75.99
AL,Ibateguara,75.9,2,37.95
PR,Pirapo,75.27,1,75.27
PB,Jerico,75.0,1,75.0
MS,Jaraguari,75.0,2,37.5
MG,Felixlandia,75.0,1,75.0
SP,Guatapara,75.0,1,75.0
SP,Nova Guataporanga,75.0,1,75.0
MG,Dom Cavati,74.99,1,74.99
RS,Lagoa Dos Tres Cantos,74.9,1,74.9
SP,Cassia Dos Coqueiros,74.9,1,74.9
MG,Frei Gaspar,74.9,1,74.9
AC,Porto Acre,74.9,1,74.9
SC,Novo Horizonte,74.9,1,74.9
MG,Nacip Raydan,74.9,1,74.9
SP,Espigao,74.89,2,37.44
BA,Adustina,74.8,1,74.8
PR,Alto Alegre Do Iguacu,74.69999999999999,2,37.35
PR,Adrianopolis,73.9,1,73.9
RS,Santo Antonio Do Palma,73.89,2,36.94
MA,Joselandia,73.35,1,73.35
MG,Monte Formoso,72.99,2,36.49
MG,Pedra Do Indaia,72.99,1,72.99
PR,Mato Rico,72.9,1,72.9
CE,Itarema,72.9,1,72.9
RO,Cacaulandia,72.9,1,72.9
PI,Avelino Lopes,72.89,2,36.44
BA,Arraial D Ajuda,72.62,1,72.62
SP,Serra Azul,72.5,1,72.5
BA,Salobro,72.2,1,72.2
MA,Matoes,72.0,1,72.0
BA,Piripa,71.99000000000001,2,36.0
SP,Termas De Ibira,71.9,1,71.9
SC,Bom Retiro,70.0,1,70.0
RS,Taquarucu Do Sul,70.0,1,70.0
MG,Ravena,69.99,1,69.99
PB,Juripiranga,69.99,1,69.99
SP,Planalto,69.99,1,69.99
MT,Itanhanga,69.99,1,69.99
SP,Cipo-Guacu,69.99,1,69.99
MS,Anaurilandia,69.99,1,69.99
MG,Itutinga,69.9,1,69.9
RS,Piratini,69.9,1,69.9
RJ,Macuco,69.9,1,69.9
PR,Vila Reis,69.9,1,69.9
MG,Glaura,69.9,1,69.9
PR,Formosa Do Oeste,69.9,1,69.9
RS,Nova Padua,69.9,1,69.9
MG,Moeda,69.9,1,69.9
PR,Florida,69.9,1,69.9
MG,Sao Francisco Do Gloria,69.9,1,69.9
ES,Laranja Da Terra,69.9,1,69.9
BA,Boquira,69.9,1,69.9
RO,Ministro Andreazza,69.9,1,69.9
MG,Morro Do Pilar,69.9,1,69.9
SP,Onda Verde,69.81,1,69.81
MS,Anhandui,69.0,1,69.0
MG,Cascalho Rico,69.0,1,69.0
PA,Igarape-Acu,69.0,1,69.0
PI,Lagoa De Sao Francisco,68.99,1,68.99
RS,Guarani Das Missoes,68.66,2,34.33
PR,Ilha Dos Valadares,67.99,1,67.99
RJ,Valao Do Barro,67.1,1,67.1
PR,Conselheiro Mairinck,67.0,1,67.0
SP,Buritizal,66.99,2,33.49
MG,Rio Doce,66.0,1,66.0
RN,Angicos,65.99,1,65.99
MG,Bertopolis,65.9,1,65.9
PR,Santo Inacio,65.9,1,65.9
MG,Capitao Eneas,65.6,1,65.6
SE,Ribeiropolis,65.0,1,65.0
PR,Serra Dos Dourados,65.0,1,65.0
MA,Goncalves Dias,65.0,1,65.0
SP,Paranapua,64.99000000000001,2,32.5
PE,Alianca,64.99,1,64.99
BA,Teodoro Sampaio,64.9,1,64.9
PE,Itaquitinga,64.89,2,32.44
AL,Matriz De Camaragibe,64.0,1,64.0
RS,Sao Jorge,63.99,1,63.99
RJ,Passa Tres,63.85,2,31.92
PR,Guairaca,63.8,1,63.8
BA,Anage,63.8,1,63.8
AL,Agua Branca,63.8,1,63.8
BA,Cristopolis,63.41,2,31.7
RS,Garruchos,62.9,1,62.9
MS,Terenos,62.89,1,62.89
BA,Conceicao Do Jacuipe,62.89,2,31.44
RN,Pedro Velho,61.99,1,61.99
PR,Santa Isabel Do Ivai,61.9,2,30.95
SP,Candido Rodrigues,61.89,3,20.63
RS,Tapera,61.8,1,61.8
BA,Ibipeba,61.7,1,61.7
BA,Muquem Do Sao Francisco,61.32,2,30.66
SP,Pontalinda,60.8,2,30.4
SP,Taiacu,60.5,1,60.5
MG,Pavao,60.0,1,60.0
SP,Guarapua,60.0,1,60.0
RS,Novo Machado,59.99,1,59.99
PA,Morada Nova,59.99,1,59.99
BA,Jandaira,59.99,1,59.99
MG,Camacho,59.99,1,59.99
MG,Pinhotiba,59.9,1,59.9
MG,Sao Domingos,59.9,1,59.9
SP,Sarutaia,59.9,1,59.9
SP,Pedranopolis,59.9,1,59.9
TO,Fatima,59.9,1,59.9
MG,Lagoa Dos Patos,59.9,1,59.9
RS,Cerrito,59.9,1,59.9
MG,Santa Rita Do Itueto,59.9,1,59.9
RN,Messias Targino,59.9,1,59.9
ES,Praia Grande,59.9,1,59.9
MS,Brasilandia,59.9,1,59.9
MG,Padre Paraiso,59.9,1,59.9
SP,Oleo,59.9,1,59.9
SP,Palmares Paulista,59.9,1,59.9
MG,Mesquita,59.9,1,59.9
RJ,Itacurussa,59.9,1,59.9
TO,Buriti Do Tocantins,59.9,1,59.9
PA,Mocajuba,59.9,1,59.9
RS,Rainha Do Mar,59.9,1,59.9
PR,Sao Miguel Do Cambui,59.9,1,59.9
RS,Porto Lucena,59.89,1,59.89
MG,Sao Mateus De Minas,59.88,1,59.88
SP,Salmourao,59.879999999999995,2,29.94
MG,Campo Florido,59.8,1,59.8
AC,Brasileia,59.699999999999996,1,59.7
RS,Jacuizinho,59.54,1,59.54
SC,Galvao,59.5,1,59.5
MT,Novo Mundo,59.15,1,59.15
BA,Lamarao,59.0,1,59.0
SP,Jamaica,59.0,1,59.0
MG,Queixada,59.0,1,59.0
CE,Lages,59.0,1,59.0
